proto,state,recv_q,send_q,local_addr,local_port,peer_addr,peer_port,pid,process,exe,user,container,source
u_dgr,UNCONN,0,0,*,733286,*,13494,603,(sd-pam,/lib/systemd/systemd,azureus+,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,102991278,*,13494,4148,auoms,/opt/microsoft/auoms/bin/auoms,root,,ss_-anp.txt
u_str,ESTAB,0,0,*,102991615,*,102991616,4148,auoms,/opt/microsoft/auoms/bin/auoms,root,,ss_-anp.txt
u_str,ESTAB,0,0,/var/run/dbus/system_bus_socket,21421,*,21420,1014,dbus-daemon,/usr/bin/dbus-daemon,message+,,ss_-anp.txt
u_str,ESTAB,0,0,/var/opt/microsoft/omsagent/00000000-0000-4000-8000-000000000001/run/auoms.socket,102991616,*,102991615,828,omsagent,/opt/microsoft/omsagent/ruby/bin/ruby,omsagent,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,733324,*,733325,602,systemd,/lib/systemd/systemd,azureus+,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,733325,*,733324,602,systemd,/lib/systemd/systemd,azureus+,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,733299,*,13510,602,systemd,/lib/systemd/systemd,azureus+,,ss_-anp.txt
u_str,ESTAB,0,0,*,19344,*,19343,1014,dbus-daemon,/usr/bin/dbus-daemon,message+,,ss_-anp.txt
u_str,ESTAB,0,0,*,21820,*,21821,1124,polkitd,/usr/lib/policykit-1/polkitd,root,,ss_-anp.txt
u_dgr,UNCONN,4,0,*,16091,*,16092,1,systemd,/lib/systemd/systemd,root,,ss_-anp.txt
u_dgr,UNCONN,0,768,*,16092,*,16091,1,systemd,/lib/systemd/systemd,root,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,84559955,*,13494,7777,hv_kvp_daemon,/usr/lib/linux-azure-5.4-tools-5.4.0-1059/hv_kvp_daemon,root,,ss_-anp.txt
u_str,ESTAB,0,0,*,19940,*,19941,1046,lxcfs,/usr/bin/lxcfs,root,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,19336,*,13494,1014,dbus-daemon,/usr/bin/dbus-daemon,message+,,ss_-anp.txt
u_str,ESTAB,0,0,*,19343,*,19344,1014,dbus-daemon,/usr/bin/dbus-daemon,message+,,ss_-anp.txt
u_str,ESTAB,0,0,*,49259176,*,49272834,"27371,27968",python3,/usr/bin/python3.6,root,,ss_-anp.txt
u_str,ESTAB,0,0,/run/systemd/journal/stdout,19512,*,19511,"1,27623",systemd-journal,"/lib/systemd/systemd,/lib/systemd/systemd-journald",root,,ss_-anp.txt
u_str,ESTAB,0,0,/run/systemd/journal/stdout,49272834,*,49259176,"1,27623",systemd-journal,"/lib/systemd/systemd,/lib/systemd/systemd-journald",root,,ss_-anp.txt
u_str,ESTAB,0,0,/run/systemd/journal/stdout,49272833,*,49258742,"1,27623",systemd-journal,"/lib/systemd/systemd,/lib/systemd/systemd-journald",root,,ss_-anp.txt
u_str,ESTAB,0,0,*,19511,*,19512,1029,cron,/usr/sbin/cron,root,,ss_-anp.txt
u_str,ESTAB,0,0,*,49258742,*,49272833,27359,filebeat,/usr/share/filebeat/bin/filebeat,root,,ss_-anp.txt
u_str,ESTAB,0,0,*,19290,*,19291,1014,dbus-daemon,/usr/bin/dbus-daemon,message+,,ss_-anp.txt
u_str,ESTAB,0,0,/var/run/dbus/system_bus_socket,19347,*,19295,1014,dbus-daemon,/usr/bin/dbus-daemon,message+,,ss_-anp.txt
u_str,ESTAB,0,0,/run/systemd/journal/stdout,733290,*,733279,"1,27623",systemd-journal,"/lib/systemd/systemd,/lib/systemd/systemd-journald",root,,ss_-anp.txt
u_str,ESTAB,0,0,/run/systemd/journal/stdout,21550,*,21547,"1,27623",systemd-journal,"/lib/systemd/systemd,/lib/systemd/systemd-journald",root,,ss_-anp.txt
u_str,ESTAB,0,0,*,733279,*,733290,"602,603",(sd-pam,/lib/systemd/systemd,azureus+,,ss_-anp.txt
u_str,ESTAB,0,0,*,21547,*,21550,1106,sshd,/usr/sbin/sshd,root,,ss_-anp.txt
u_str,ESTAB,0,0,/var/run/dbus/system_bus_socket,19345,*,18677,1014,dbus-daemon,/usr/bin/dbus-daemon,message+,,ss_-anp.txt
u_str,ESTAB,0,0,/run/systemd/journal/stdout,14763,*,14513,"1,27623",systemd-journal,"/lib/systemd/systemd,/lib/systemd/systemd-journald",root,,ss_-anp.txt
u_str,ESTAB,0,0,/run/systemd/journal/stdout,20603,*,20601,"1,27623",systemd-journal,"/lib/systemd/systemd,/lib/systemd/systemd-journald",root,,ss_-anp.txt
u_str,ESTAB,0,0,*,18677,*,19345,870,systemd-resolve,/lib/systemd/systemd-resolved,systemd+,,ss_-anp.txt
u_str,ESTAB,0,0,*,14513,*,14763,457,systemd-udevd,/lib/systemd/systemd-udevd,root,,ss_-anp.txt
u_str,ESTAB,0,0,*,21420,*,21421,1065,accounts-daemon,/usr/lib/accountsservice/accounts-daemon,root,,ss_-anp.txt
u_str,ESTAB,0,0,*,19295,*,19347,1,systemd,/lib/systemd/systemd,root,,ss_-anp.txt
u_str,ESTAB,0,0,/var/run/dbus/system_bus_socket,21821,*,21820,1014,dbus-daemon,/usr/bin/dbus-daemon,message+,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,18002,*,13510,870,systemd-resolve,/lib/systemd/systemd-resolved,systemd+,,ss_-anp.txt
u_str,ESTAB,0,0,*,18678,*,19346,859,systemd-network,/lib/systemd/systemd-networkd,systemd+,,ss_-anp.txt
u_str,ESTAB,0,0,/run/systemd/journal/stdout,19291,*,19290,"1,27623",systemd-journal,"/lib/systemd/systemd,/lib/systemd/systemd-journald",root,,ss_-anp.txt
u_str,ESTAB,0,0,/var/run/dbus/system_bus_socket,46448601,*,46448600,1014,dbus-daemon,/usr/bin/dbus-daemon,message+,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,17803,*,17804,859,systemd-network,/lib/systemd/systemd-networkd,systemd+,,ss_-anp.txt
u_str,ESTAB,0,0,/var/run/dbus/system_bus_socket,19346,*,18678,1014,dbus-daemon,/usr/bin/dbus-daemon,message+,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,17801,*,17802,859,systemd-network,/lib/systemd/systemd-networkd,systemd+,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,16286,*,13510,702,systemd-timesyn,/lib/systemd/systemd-timesyncd,systemd+,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,17802,*,17801,859,systemd-network,/lib/systemd/systemd-networkd,systemd+,,ss_-anp.txt
u_str,ESTAB,0,0,*,46448600,*,46448601,7900,systemd-logind,/lib/systemd/systemd-logind,root,,ss_-anp.txt
u_str,ESTAB,0,0,*,17977,*,17991,870,systemd-resolve,/lib/systemd/systemd-resolved,systemd+,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,17804,*,17803,859,systemd-network,/lib/systemd/systemd-networkd,systemd+,,ss_-anp.txt
u_str,ESTAB,0,0,/run/systemd/journal/stdout,17991,*,17977,"1,27623",systemd-journal,"/lib/systemd/systemd,/lib/systemd/systemd-journald",root,,ss_-anp.txt
u_str,ESTAB,0,0,/run/systemd/journal/stdout,46449982,*,46447718,"1,27623",systemd-journal,"/lib/systemd/systemd,/lib/systemd/systemd-journald",root,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,46448586,*,13510,7900,systemd-logind,/lib/systemd/systemd-logind,root,,ss_-anp.txt
u_str,ESTAB,0,0,*,112071388,*,112071387,4092,sshd,/usr/sbin/sshd,root,,ss_-anp.txt
u_str,ESTAB,0,0,/run/systemd/journal/stdout,17776,*,17775,"1,27623",systemd-journal,"/lib/systemd/systemd,/lib/systemd/systemd-journald",root,,ss_-anp.txt
u_str,ESTAB,0,0,*,102128869,*,102128868,22101,omiengine,/opt/omi/bin/omiengine,omi,,ss_-anp.txt
u_str,ESTAB,0,0,*,102129573,*,102129574,22101,omiengine,/opt/omi/bin/omiengine,omi,,ss_-anp.txt
u_str,ESTAB,0,0,*,112071387,*,112071388,4204,sshd,/usr/sbin/sshd,azureus+,,ss_-anp.txt
u_str,ESTAB,0,0,*,17775,*,17776,859,systemd-network,/lib/systemd/systemd-networkd,systemd+,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,112070152,*,13494,"4092,4204",sshd,/usr/sbin/sshd,"azureus+,root",,ss_-anp.txt
u_str,ESTAB,0,0,*,102128868,*,102128869,22096,omiserver,/opt/omi/bin/omiserver,root,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,49272065,*,13486,27623,systemd-journal,/lib/systemd/systemd-journald,root,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,112093430,*,13494,9303,sudo,/usr/bin/sudo,root,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,17794,*,13510,859,systemd-network,/lib/systemd/systemd-networkd,systemd+,,ss_-anp.txt
u_str,ESTAB,0,0,*,46447718,*,46449982,7900,systemd-logind,/lib/systemd/systemd-logind,root,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,112093489,*,13494,9314,su,/bin/su,root,,ss_-anp.txt
u_str,ESTAB,0,0,/etc/opt/omi/conf/sockets/omi_JozaRvZDS,102129574,*,102129573,22182,omiagent,/opt/omi/bin/omiagent,root,,ss_-anp.txt
u_str,ESTAB,0,0,/run/systemd/journal/stdout,84559942,*,84559940,"1,27623",systemd-journal,"/lib/systemd/systemd,/lib/systemd/systemd-journald",root,,ss_-anp.txt
u_str,ESTAB,0,0,*,14288,*,14759,447,lvmetad,/sbin/lvmetad,root,,ss_-anp.txt
u_str,ESTAB,0,0,*,84559940,*,84559942,7777,hv_kvp_daemon,/usr/lib/linux-azure-5.4-tools-5.4.0-1059/hv_kvp_daemon,root,,ss_-anp.txt
u_str,ESTAB,0,0,/run/systemd/journal/stdout,19941,*,19940,"1,27623",systemd-journal,"/lib/systemd/systemd,/lib/systemd/systemd-journald",root,,ss_-anp.txt
u_str,ESTAB,0,0,/run/systemd/journal/stdout,14759,*,14288,"1,27623",systemd-journal,"/lib/systemd/systemd,/lib/systemd/systemd-journald",root,,ss_-anp.txt
u_str,ESTAB,0,0,*,16167,*,16269,702,systemd-timesyn,/lib/systemd/systemd-timesyncd,systemd+,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,84559799,*,13510,1,systemd,/lib/systemd/systemd,root,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,14520,*,13510,457,systemd-udevd,/lib/systemd/systemd-udevd,root,,ss_-anp.txt
u_str,ESTAB,0,0,/run/systemd/journal/stdout,16269,*,16167,"1,27623",systemd-journal,"/lib/systemd/systemd,/lib/systemd/systemd-journald",root,,ss_-anp.txt
u_str,ESTAB,0,0,*,20601,*,20603,1065,accounts-daemon,/usr/lib/accountsservice/accounts-daemon,root,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,14728,*,14727,457,systemd-udevd,/lib/systemd/systemd-udevd,root,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,13487,*,13488,1,systemd,/lib/systemd/systemd,root,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,16292,*,16293,702,systemd-timesyn,/lib/systemd/systemd-timesyncd,systemd+,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,16293,*,16292,702,systemd-timesyn,/lib/systemd/systemd-timesyncd,systemd+,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,13488,*,13487,1,systemd,/lib/systemd/systemd,root,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,49292312,*,13494,31957,rsyslogd,/usr/sbin/rsyslogd,syslog,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,16290,*,16291,702,systemd-timesyn,/lib/systemd/systemd-timesyncd,systemd+,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,14727,*,14728,457,systemd-udevd,/lib/systemd/systemd-udevd,root,,ss_-anp.txt
u_dgr,UNCONN,0,0,*,16291,*,16290,702,systemd-timesyn,/lib/systemd/systemd-timesyncd,systemd+,,ss_-anp.txt
icmp6,UNCONN,0,0,*,58,0.0.0.0,,859,systemd-network,/lib/systemd/systemd-networkd,systemd+,,ss_-anp.txt
udp,UNCONN,0,0,127.0.0.53,53,0.0.0.0,,870,systemd-resolve,/lib/systemd/systemd-resolved,systemd+,,ss_-anp.txt
udp,UNCONN,0,0,10.0.0.4,68,0.0.0.0,,859,systemd-network,/lib/systemd/systemd-networkd,systemd+,,ss_-anp.txt
