depth,tree,pid,ppid,user,start_utc,elapsed,container,children,hidden,cmdline,note
1,* rcu_par_gp,4,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[rcu_par_gp],
1,* kworker/0:0H-kblockd,6,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[kworker/0:0H-kb],
1,* mm_percpu_wq,9,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[mm_percpu_wq],
1,* ksoftirqd/0,10,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[ksoftirqd/0],
1,* rcu_sched,11,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[rcu_sched],
1,* migration/0,12,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[migration/0],
1,* cpuhp/0,13,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[cpuhp/0],
1,* kdevtmpfs,14,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[kdevtmpfs],
1,* netns,15,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[netns],
1,* rcu_tasks_kthre,16,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[rcu_tasks_kthre],
1,* kauditd,17,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[kauditd],
1,* khungtaskd,18,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[khungtaskd],
1,* oom_reaper,19,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[oom_reaper],
1,* writeback,20,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[writeback],
1,* kcompactd0,21,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[kcompactd0],
1,* ksmd,22,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[ksmd],
1,* khugepaged,23,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[khugepaged],
1,* kintegrityd,69,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[kintegrityd],
1,* kblockd,70,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[kblockd],
1,* blkcg_punt_bio,71,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[blkcg_punt_bio],
1,* tpm_dev_wq,72,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[tpm_dev_wq],
1,* ata_sff,73,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[ata_sff],
1,* md,74,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[md],
1,* edac-poller,75,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[edac-poller],
1,* hv_vmbus_con,76,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[hv_vmbus_con],
1,* hv_pri_chan,77,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[hv_pri_chan],
1,* hv_sub_chan,78,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[hv_sub_chan],
1,* devfreq_wq,79,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[devfreq_wq],
1,* watchdogd,80,2,root,2021-10-09 15:06:07,60-03:45:25,,,,[watchdogd],
1,* kswapd0,83,2,root,2021-10-09 15:06:08,60-03:45:24,,,,[kswapd0],
