path,host_path,top_level,category,size_bytes,size_human,parsed_into
[root]/etc/apparmor.d/abstractions/ubuntu-media-players,/etc/apparmor.d/abstractions/ubuntu-media-players,[root],host filesystem copy,2294,2.2 KB,
[root]/etc/apparmor.d/abstractions/ubuntu-unity7-base,/etc/apparmor.d/abstractions/ubuntu-unity7-base,[root],host filesystem copy,2545,2.5 KB,
[root]/etc/apparmor.d/abstractions/ubuntu-unity7-launcher,/etc/apparmor.d/abstractions/ubuntu-unity7-launcher,[root],host filesystem copy,198,198 B,
[root]/etc/apparmor.d/abstractions/ubuntu-unity7-messaging,/etc/apparmor.d/abstractions/ubuntu-unity7-messaging,[root],host filesystem copy,199,199 B,
[root]/etc/apparmor.d/abstractions/ubuntu-xterm,/etc/apparmor.d/abstractions/ubuntu-xterm,[root],host filesystem copy,250,250 B,
[root]/etc/apparmor.d/abstractions/user-download,/etc/apparmor.d/abstractions/user-download,[root],host filesystem copy,900,900 B,
[root]/etc/apparmor.d/abstractions/user-mail,/etc/apparmor.d/abstractions/user-mail,[root],host filesystem copy,860,860 B,
[root]/etc/apparmor.d/abstractions/user-manpages,/etc/apparmor.d/abstractions/user-manpages,[root],host filesystem copy,913,913 B,
[root]/etc/apparmor.d/abstractions/user-tmp,/etc/apparmor.d/abstractions/user-tmp,[root],host filesystem copy,674,674 B,
[root]/etc/apparmor.d/abstractions/user-write,/etc/apparmor.d/abstractions/user-write,[root],host filesystem copy,885,885 B,
[root]/etc/apparmor.d/abstractions/video,/etc/apparmor.d/abstractions/video,[root],host filesystem copy,129,129 B,
[root]/etc/apparmor.d/abstractions/wayland,/etc/apparmor.d/abstractions/wayland,[root],host filesystem copy,594,594 B,
[root]/etc/apparmor.d/abstractions/web-data,/etc/apparmor.d/abstractions/web-data,[root],host filesystem copy,730,730 B,
[root]/etc/apparmor.d/abstractions/winbind,/etc/apparmor.d/abstractions/winbind,[root],host filesystem copy,760,760 B,
[root]/etc/apparmor.d/abstractions/wutmp,/etc/apparmor.d/abstractions/wutmp,[root],host filesystem copy,601,601 B,
[root]/etc/apparmor.d/abstractions/xad,/etc/apparmor.d/abstractions/xad,[root],host filesystem copy,908,908 B,
[root]/etc/apparmor.d/abstractions/xdg-desktop,/etc/apparmor.d/abstractions/xdg-desktop,[root],host filesystem copy,697,697 B,
[root]/etc/apparmor.d/cache/.features,/etc/apparmor.d/cache/.features,[root],host filesystem copy,1991,1.9 KB,
[root]/etc/apparmor.d/cache/lxc-containers,/etc/apparmor.d/cache/lxc-containers,[root],host filesystem copy,123268,120.4 KB,
[root]/etc/apparmor.d/cache/sbin.dhclient,/etc/apparmor.d/cache/sbin.dhclient,[root],host filesystem copy,118596,115.8 KB,
[root]/etc/apparmor.d/cache/usr.bin.lxc-start,/etc/apparmor.d/cache/usr.bin.lxc-start,[root],host filesystem copy,8769,8.6 KB,
[root]/etc/apparmor.d/cache/usr.bin.man,/etc/apparmor.d/cache/usr.bin.man,[root],host filesystem copy,43828,42.8 KB,
[root]/etc/apparmor.d/cache/usr.lib.snapd.snap-confine.real,/etc/apparmor.d/cache/usr.lib.snapd.snap-confine.real,[root],host filesystem copy,79770,77.9 KB,
[root]/etc/apparmor.d/cache/usr.sbin.tcpdump,/etc/apparmor.d/cache/usr.sbin.tcpdump,[root],host filesystem copy,60857,59.4 KB,
[root]/etc/apparmor.d/local/README,/etc/apparmor.d/local/README,[root],host filesystem copy,1135,1.1 KB,ETC_CONFIGS
[root]/etc/apparmor.d/local/sbin.dhclient,/etc/apparmor.d/local/sbin.dhclient,[root],host filesystem copy,0,0 B,ETC_CONFIGS
[root]/etc/apparmor.d/local/usr.bin.lxc-start,/etc/apparmor.d/local/usr.bin.lxc-start,[root],host filesystem copy,0,0 B,ETC_CONFIGS
[root]/etc/apparmor.d/local/usr.bin.man,/etc/apparmor.d/local/usr.bin.man,[root],host filesystem copy,0,0 B,ETC_CONFIGS
[root]/etc/apparmor.d/local/usr.lib.snapd.snap-confine.real,/etc/apparmor.d/local/usr.lib.snapd.snap-confine.real,[root],host filesystem copy,0,0 B,ETC_CONFIGS
[root]/etc/apparmor.d/local/usr.sbin.rsyslogd,/etc/apparmor.d/local/usr.sbin.rsyslogd,[root],host filesystem copy,0,0 B,ETC_CONFIGS
[root]/etc/apparmor.d/local/usr.sbin.tcpdump,/etc/apparmor.d/local/usr.sbin.tcpdump,[root],host filesystem copy,0,0 B,ETC_CONFIGS
