indicator,seen_in_count,seen_in
198.18.1.4,3,/var/log/auth.log.4.gz; /var/log/btmp.1; failed authentication source
198.18.1.5,1,/var/log/apache2/error_log
198.18.1.6,1,/var/log/auth.log.1
198.18.1.7,2,/var/log/auth.log.3.gz; /var/log/btmp.1
198.18.1.8,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.9,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.10,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.11,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.12,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.13,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.14,1,/var/log/apache2/error_log
198.18.1.15,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.16,4,/var/log/apache2/access_log; /var/log/apache2/error_log; /var/log/auth.log.3.gz; /var/log/btmp.1
198.18.0.78,4,/var/log/apache2/access_log; /var/log/apache2/error_log; /var/log/auth.log; /var/log/btmp
198.18.1.17,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.18,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.19,1,/var/log/btmp.1
198.18.1.20,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.21,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.22,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.23,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.24,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.25,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.26,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.27,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.28,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.29,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.30,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.31,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.44,1,network connection
198.18.1.32,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.33,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.34,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.35,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.36,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.37,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.38,6,/var/log/auth.log.1; /var/log/auth.log.2.gz; /var/log/auth.log.3.gz; /var/log/btmp; /var/log/btmp.1; failed authentication source
198.18.1.39,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.40,1,/var/log/auth.log.1
198.18.1.41,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.42,2,/var/log/btmp.1; password spraying source
198.18.1.43,1,/var/log/apache2/access_log
198.18.1.44,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.45,1,/var/log/auth.log.1
198.18.1.46,1,/var/log/btmp.1
198.18.1.47,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.48,1,/var/log/btmp.1
198.18.1.49,1,/var/log/apache2/access_log
198.18.1.50,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.51,1,/var/log/auth.log.1
198.18.1.52,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.53,2,/var/log/auth.log.1; /var/log/btmp
198.18.1.54,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.55,2,/var/log/auth.log.3.gz; /var/log/btmp.1
198.18.1.56,1,/var/log/auth.log.3.gz
198.18.1.57,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.58,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.59,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.60,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.61,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.62,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.63,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.64,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.65,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.66,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.0.59,1,/var/log/auth.log
198.18.1.67,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.68,2,/var/log/auth.log.2.gz; /var/log/btmp.1
198.18.1.69,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.70,1,/var/log/btmp.1
198.18.1.71,2,/var/log/auth.log.2.gz; failed authentication source
198.18.1.72,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.73,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.74,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.75,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.76,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.77,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.78,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.79,2,/var/log/apache2/access_log; /var/log/apache2/error_log
198.18.1.80,1,/var/log/btmp.1
198.18.1.81,2,/var/log/apache2/access_log; /var/log/apache2/error_log
